time,com_x,com_y,desired_x,desired_y
0.0,0.0,0.0,0.0,0.0
0.005,0.00052143174,-5.8147434e-05,0.00052143174,0.0
0.01,0.0012695803,-0.0002044899,0.0012695803,0.0
0.015,0.0020518657,-0.00042960176,0.0020518657,0.0
0.02,0.0027609842,-0.0007129445,0.0027609842,0.0
0.025,0.0035778931,-0.0010522311,0.0035778931,0.0
0.03,0.004382652,-0.001431651,0.004382652,0.0
0.035,0.005113893,-0.0018324257,0.005113893,0.0
0.04,0.005745442,-0.0022396385,0.005745442,0.0
0.045,0.0066733235,-0.0026297523,0.0066733235,0.0
0.05,0.007725559,-0.0029992422,0.007725559,0.0
0.055,0.008789427,-0.0033397845,0.008789427,0.0
0.06,0.009793415,-0.0036491202,0.009793415,0.0
0.065,0.011001763,-0.0038395904,0.011001763,0.0
0.07,0.009344775,-0.003996157,0.009344775,0.0
0.075,0.0071411505,-0.0041381475,0.0071411505,0.0
0.08,0.0048169247,-0.004269675,0.0048169247,0.0
0.085,0.002261869,-0.0045269793,0.002261869,0.0
0.09,-0.00042994772,-0.0048687,-0.00042994772,0.0
0.095,-0.0032125995,-0.0052611516,-0.0032125995,0.0
0.1,-0.0059473296,-0.005673965,-0.0059473296,0.0
0.105,-0.008858522,-0.006086678,-0.008858522,0.0
0.11,-0.012087661,-0.0064861365,-0.012087661,0.0
0.115,-0.015421767,-0.0068628625,-0.015421767,0.0
0.12,-0.018851057,-0.0072132805,-0.018851057,0.0
0.125,-0.022453314,-0.0075554685,-0.022453314,0.0
0.13,-0.026291478,-0.007884328,-0.026291478,0.0
0.135,-0.030249223,-0.008190224,-0.030249223,0.0
0.14,-0.03429267,-0.008466674,-0.03429267,0.0
0.145,-0.03840277,-0.008698662,-0.03840277,0.0
0.15,-0.04269539,-0.0088737495,-0.04269539,0.0
0.155,-0.04702477,-0.009032363,-0.04702477,0.0
0.16,-0.051433686,-0.009164127,-0.051433686,0.0
0.165,-0.05569632,-0.009322166,-0.05569632,0.0
0.17,-0.059924614,-0.009459856,-0.059924614,0.0
0.17500000000000002,-0.064194515,-0.009560465,-0.064194515,0.0
0.18,-0.06855792,-0.009623575,-0.06855792,0.0
0.185,-0.07281693,-0.009652578,-0.07281693,0.0
0.19,-0.077054724,-0.00964303,-0.077054724,0.0
0.195,-0.08132561,-0.009606303,-0.08132561,0.0
0.2,-0.08566077,-0.009552845,-0.08566077,0.0
0.20500000000000002,-0.08990549,-0.009451992,-0.08990549,0.0
0.21,-0.09411327,-0.009330685,-0.09411327,0.0
0.215,-0.09831459,-0.009210631,-0.09831459,0.0
0.22,-0.10252086,-0.009102831,-0.10252086,0.0
0.225,-0.10656537,-0.008944677,-0.10656537,0.0
0.23,-0.1104917,-0.008783355,-0.1104917,0.0
0.23500000000000001,-0.11432593,-0.008637895,-0.11432593,0.0
