time,left_foot_raw_force,right_foot_raw_force
0.0,252.5058,191.57065
0.005,255.27293,87.58806
0.01,258.75854,98.00858
0.015,249.92657,117.279366
0.02,194.7492,95.447914
0.025,189.12732,102.95619
0.03,180.823,110.14786
0.035,172.9124,114.5237
0.04,113.33821,135.00113
0.045,121.15184,138.85876
0.05,121.6597,139.27197
0.055,102.89641,137.21657
0.06,115.62471,117.51036
0.065,0.0,0.0
0.07,54.587456,61.647743
0.075,69.27636,70.19066
0.08,154.39511,128.98099
0.085,156.72906,138.26167
0.09,156.13235,144.86993
0.095,153.96109,149.42123
0.1,176.50336,173.15013
0.105,173.69928,173.4426
0.11,169.21469,173.69475
0.115,163.25691,169.76364
0.12,179.26309,170.57584
0.125,168.49664,164.14523
0.13,154.4118,155.6458
0.135,133.82767,144.0795
0.14,89.66607,134.44553
0.145,0.0,119.90274
0.15,12.333575,76.56718
0.155,1.5496435,69.61473
0.16,28.09132,56.365326
0.165,12.386388,0.0
0.17,0.0,6.8621774
0.17500000000000002,0.0,7.926486
0.18,0.0,11.06871
0.185,0.0,8.103646
0.19,0.0,10.027735
0.195,0.0,11.672757
0.2,0.0,22.559195
0.20500000000000002,0.0,12.818787
0.21,0.0,10.610381
0.215,0.0,10.838216
0.22,0.0,22.723879
0.225,0.0,16.637556
0.23,0.0,10.939171
0.23500000000000001,0.0,11.602712
