time,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,-31.709557,2.3926146,2.502608,15.517685,3.358108,0.37084922,-42.638683,3.251266,1.8723094,36.741386,4.661113,1.6096323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-12.727627,2.3790598,0.62578326,4.2446785,3.3689647,0.37847754,-20.472647,2.8329184,-0.9644744,16.912558,4.7911777,1.5866673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.9239998,3.0173817,-0.7068507,-3.7265966,3.5663838,0.39425173,-6.9834433,3.4975812,-2.180095,5.1493816,5.130004,1.5867884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,5.9605827,3.625201,-1.7964642,-9.387913,3.8895612,0.40725198,0.9593594,4.1528053,-3.0490496,-2.7015095,5.633523,1.5915052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-3.3637807,-0.3257922,-9.481826,-10.040919,6.723404,-1.1537411,-5.741605,2.9699926,4.1301274,2.2596707,10.546966,1.6014577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,3.2719386,1.0273588,-8.2241745,-13.211932,7.043766,-1.191468,2.0197093,3.3181143,2.069552,-4.0801883,10.978265,1.6105934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,7.041004,2.1559846,-7.2941065,-14.817531,7.358098,-1.2205545,6.5376844,3.5370603,0.63427746,-7.9311404,11.451144,1.6115078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,9.008984,3.039725,-6.5808086,-15.2470045,7.642606,-1.2424423,9.021579,3.6575625,-0.38001624,-10.093494,11.909879,1.5943005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-12.418303,3.8982804,-8.045126,-10.459368,11.450405,-0.93987507,-11.25734,4.1056533,3.222302,-4.2218184,15.802814,1.6397494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,-4.1875134,4.5515494,-5.70087,-11.371447,11.424356,-1.0114319,-1.9363565,3.309391,1.4386868,-7.7565093,15.693009,1.6297063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.4268587,4.7771215,-4.402925,-11.145395,11.372564,-1.0639253,4.5220633,2.5862503,0.3468957,-9.626894,15.524127,1.6013685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055,5.160631,4.8392553,-3.3998346,-10.249895,11.300999,-1.1003081,8.929938,1.8990095,-0.34006643,-10.263712,15.288554,1.5565141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,-12.405902,0.8318765,-3.5936882,-9.547726,12.971342,-1.4931767,-7.288343,-0.70349056,-2.438338,-9.397156,15.952461,1.491801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.065,-4.6960783,1.7024624,-1.393172,-8.473629,12.622337,-1.5647054,1.1954064,1.2542695,-1.2076252,-7.743706,13.980059,-0.8788138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
