x,y,z,theta,side
0.241009,0.155021,0.000000,0.357160,0
0.545232,0.139387,0.000000,0.349850,1
0.767938,0.347238,0.000000,0.342177,0
1.071887,0.326941,0.000000,0.334172,1
1.297894,0.531199,0.000000,0.325799,0
1.601460,0.505816,0.000000,0.317081,1
1.830996,0.706104,0.000000,0.307988,0
2.134052,0.675205,0.000000,0.298539,1
2.367332,0.871123,0.000000,0.288709,0
2.669723,0.834269,0.000000,0.278509,1
2.906952,1.025384,0.000000,0.267929,0
3.208494,0.982142,0.000000,0.256957,1
3.449860,1.168001,0.000000,0.245602,0
3.750340,1.117932,0.000000,0.233854,1
3.996008,1.298060,0.000000,0.221709,0
4.295182,1.240711,0.000000,0.209167,1
4.545289,1.414623,0.000000,0.196232,0
4.843299,1.350282,0.000000,0.192048,1
5.094937,1.522019,0.000000,0.195529,0
5.392930,1.458898,0.000000,0.196393,1
5.644262,1.631082,0.000000,0.194739,0
5.942046,1.566968,0.000000,0.190561,1
6.194802,1.737056,0.000000,0.183918,0
6.491704,1.668980,0.000000,0.174737,1
6.747537,1.834402,0.000000,0.163042,0
7.042760,1.759387,0.000000,0.148706,1
7.303229,1.917404,0.000000,0.131716,0
7.595722,1.832398,0.000000,0.111928,1
7.862243,1.979966,0.000000,0.089267,0
8.150574,1.881810,0.000000,0.063619,1
8.424314,2.015490,0.000000,0.034885,0
8.706493,1.900903,0.000000,0.002503,1
8.989140,2.014625,0.000000,-0.048332,0
9.259719,1.874583,0.000000,-0.096022,1
9.551763,1.960938,0.000000,-0.137789,0
9.809738,1.798872,0.000000,-0.173585,1
10.107224,1.864084,0.000000,-0.203540,0
10.355022,1.686828,0.000000,-0.227850,1
10.655344,1.737504,0.000000,-0.246704,0
10.896269,1.551002,0.000000,-0.260278,1
11.197868,1.593500,0.000000,-0.268747,0
11.435594,1.402933,0.000000,-0.272196,1
11.737482,1.443350,0.000000,-0.270669,0
11.975786,1.253505,0.000000,-0.264184,1
12.277120,1.297850,0.000000,-0.252615,0
12.519754,1.113574,0.000000,-0.235914,1
12.819424,1.167975,0.000000,-0.213848,0
13.069572,0.994417,0.000000,-0.192000,1
13.367011,1.060295,0.000000,-0.182125,0
13.621302,0.892601,0.000000,-0.174449,1
13.917694,0.963050,0.000000,-0.168906,0
14.173828,0.798181,0.000000,-0.165492,1
14.469732,0.870660,0.000000,-0.164182,0
14.726296,0.706457,0.000000,-0.164984,1
15.022316,0.778462,0.000000,-0.167895,0
15.277917,0.612769,0.000000,-0.172940,1
15.574648,0.681778,0.000000,-0.180143,0
15.827836,0.512427,0.000000,-0.189534,1
16.125810,0.575834,0.000000,-0.201176,0
16.374981,0.400630,0.000000,-0.215100,1
16.674609,0.455721,0.000000,-0.231359,0
16.917939,0.272489,0.000000,-0.250056,1
17.219403,0.316310,0.000000,-0.271134,0
17.455073,0.123275,0.000000,-0.291480,1
17.758052,0.154778,0.000000,-0.310894,0
17.986061,-0.047236,0.000000,-0.329361,1
18.289995,-0.026953,0.000000,-0.346890,0
18.510775,-0.236851,0.000000,-0.363510,1
18.815223,-0.226667,0.000000,-0.379249,0
19.029286,-0.443417,0.000000,-0.394102,1
19.333907,-0.442279,0.000000,-0.408128,0
19.541808,-0.664949,0.000000,-0.421298,1
19.846356,-0.671841,0.000000,-0.433691,0
20.048680,-0.899592,0.000000,-0.445263,1
20.352987,-0.913541,0.000000,-0.456085,0
20.550335,-1.145619,0.000000,-0.466151,1
